ID_Customer,Customer_Name,Customer_Segment,Customer_Size,Industry,Region_CC,Region_OC,Country,Acquisition_Channel,Customer_Start_Date
C00150,Everline Medical AG 0150,Enterprise,Medium,Construction,DACH,East,Germany,Partner,2023-09-01
C00151,Atlas Trading LLC 0151,SMB,Small,Public Administration,DACH,East,Germany,Unknown,2022-11-01
C00152,BluePeak Partners LLC 0152,Mid-Market,Small,Technology,Southern Europe,North,Germany,Inbound,2023-01-01
C00153,Redwood Services SAS 0153,Enterprise,Very Large,Healthcare,Western Europe,Central,Netherlands,Inbound,2022-05-01
C00154,Greenfield Retail Group Ltd 0154,Distributor,Medium,Construction,Western Europe,South,Switzerland,Partner,2020-10-01
C00155,Redwood Services AG 0155,Mid-Market,Medium,Retail,DACH,West,Germany,Referral,2023-04-01
C00156,Silverline Partners Ltd 0156,Mid-Market,Medium,Manufacturing,Southern Europe,North,Germany,Partner,2021-07-01
C00157,Everline Solutions SAS 0157,SMB,Small,Manufacturing,DACH,East,Italy,Partner,2022-12-01
C00158,IronBridge Retail Group Ltd 0158,Distributor,Large,Food & Beverage,DACH,Central,Austria,Trade Fair,2023-12-01
C00159,Prime Partners BV 0159,Public Sector,Medium,Logistics,DACH,Central,Netherlands,Inbound,2022-02-01
C00160,BluePeak Industries SRL 0160,Mid-Market,Large,Manufacturing,Western Europe,West,Switzerland,Referral,2022-10-01
C00161,NovaCore Trading SRL 0161,SMB,Medium,Retail,Western Europe,West,Spain,Website,2022-12-01
C00162,Northstar Manufacturing SAS 0162,Mid-Market,Medium,Logistics,Western Europe,East,Netherlands,Trade Fair,2022-12-01
C00163,NovaCore Retail Group GmbH 0163,SMB,Medium,Public Administration,DACH,East,Italy,Website,2023-01-01
C00164,ClearView Logistics BV 0164,SMB,Small,Energy,Western Europe,South,Germany,Partner,2020-11-01
C00165,Silverline Logistics AG 0165,Distributor,Large,Logistics,DACH,Unknown,France,Partner,2021-02-01
C00166,Redwood Technologies LLC 0166,Mid-Market,Medium,Retail,DACH,West,Austria,Website,2020-12-01
C00167,IronBridge Distribution AG 0167,Mid-Market,Small,Automotive,Southern Europe,East,Switzerland,Inbound,2020-08-01
C00168,Everline Energy Group 0168,SMB,Large,Public Administration,Western Europe,West,Germany,Partner,2021-08-01
C00169,Silverline Industries AG 0169,Mid-Market,Medium,Manufacturing,Western Europe,South,Germany,Inbound,2022-03-01
C00170,UrbanGrid Industries Group 0170,SMB,Small,Energy,Southern Europe,West,Switzerland,Partner,2020-09-01
C00171,Redwood Trading SAS 0171,SMB,Medium,Manufacturing,DACH,East,Belgium,Partner,2022-08-01
C00172,BrightPath Trading BV 0172,Mid-Market,Medium,Healthcare,DACH,East,Netherlands,Partner,2024-10-01
C00173,Prime Solutions Ltd 0173,SMB,Large,Retail,DACH,West,Spain,Trade Fair,2022-04-01
C00174,Atlas Systems SAS 0174,SMB,Small,Energy,Benelux,North,France,Partner,2021-12-01
C00175,Redwood Services Group 0175,SMB,Medium,Logistics,Benelux,North,Italy,Referral,2021-06-01
C00176,Silverline Trading SAS 0176,Enterprise,Large,Manufacturing,Western Europe,West,France,Website,2023-05-01
C00177,Summit Partners Group 0177,SMB,Small,Retail,Benelux,South,Switzerland,Trade Fair,2022-02-01
C00178,Prime Technologies SRL 0178,Mid-Market,Large,Manufacturing,DACH,Central,Germany,Referral,2021-01-01
C00179,IronBridge Technologies Group 0179,SMB,Medium,Healthcare,Benelux,Central,Netherlands,Outbound Sales,2024-07-01
C00180,Vertex Energy AG 0180,Public Sector,Large,Construction,DACH,East,Netherlands,Website,2023-02-01
C00181,Summit Trading SRL 0181,SMB,Small,Construction,Southern Europe,East,Netherlands,Website,2024-07-01
C00182,Silverline Technologies GmbH 0182,Mid-Market,Very Large,Technology,Western Europe,Central,Austria,Trade Fair,2021-04-01
C00183,Redwood Solutions Ltd 0183,Mid-Market,Very Large,Construction,DACH,South,Netherlands,Outbound Sales,2020-08-01
C00184,Summit Manufacturing Ltd 0184,SMB,Medium,Food & Beverage,Western Europe,South,Germany,Partner,2020-12-01
C00185,BluePeak Medical SRL 0185,SMB,Small,Construction,Benelux,North,Austria,Unknown,2021-07-01
C00186,IronBridge Trading Group 0186,Mid-Market,Large,Healthcare,DACH,Central,Italy,Website,2023-11-01
C00187,ClearView Technologies SRL 0187,Distributor,Medium,Public Administration,Western Europe,South,Germany,Referral,2020-09-01
C00188,Greenfield Technologies Group 0188,SMB,Small,Food & Beverage,DACH,South,Germany,Inbound,2021-09-01
C00189,IronBridge Supplies BV 0189,Distributor,Medium,Logistics,Southern Europe,South,Belgium,Outbound Sales,2022-01-01
C00190,UrbanGrid Services GmbH 0190,Mid-Market,Large,Public Administration,DACH,East,Germany,Outbound Sales,2021-10-01
C00191,NovaCore Partners GmbH 0191,Mid-Market,Medium,Healthcare,Southern Europe,North,Netherlands,Referral,2022-11-01
C00192,Northstar Partners AG 0192,Mid-Market,Large,Healthcare,Southern Europe,Central,Germany,Inbound,2020-08-01
C00193,IronBridge Manufacturing SRL 0193,Distributor,Large,Food & Beverage,Benelux,North,Spain,Outbound Sales,2021-08-01
C00194,Everline Solutions AG 0194,Enterprise,Very Large,Construction,Southern Europe,Central,Italy,Inbound,2021-01-01
C00195,BrightPath Systems LLC 0195,SMB,Small,Energy,Western Europe,South,Netherlands,Outbound Sales,2023-03-01
C00196,IronBridge Technologies SRL 0196,SMB,Medium,Logistics,Southern Europe,Central,Switzerland,Referral,2022-10-01
C00197,Nexora Partners GmbH 0197,SMB,Medium,Retail,DACH,West,Italy,Inbound,2022-11-01
C00198,Northstar Industries AG 0198,Mid-Market,Medium,Technology,Southern Europe,North,Germany,Inbound,2021-11-01
C00199,Redwood Medical SRL 0199,SMB,Small,Energy,DACH,Central,France,Website,2020-11-01
C00200,Silverline Solutions LLC 0200,SMB,Small,Healthcare,Western Europe,Central,Austria,Trade Fair,2021-05-01
C00201,Prime Technologies SAS 0201,SMB,Medium,Healthcare,Western Europe,South,France,Outbound Sales,2021-12-01
C00202,Summit Solutions SAS 0202,SMB,Small,Manufacturing,Southern Europe,South,Spain,Trade Fair,2024-02-01
C00203,Summit Energy BV 0203,Public Sector,Large,Construction,DACH,North,Spain,Outbound Sales,2020-08-01
C00204,NovaCore Services SAS 0204,Enterprise,Large,Logistics,DACH,South,Switzerland,Inbound,2021-03-01
C00205,Silverline Trading GmbH 0205,Mid-Market,Medium,Construction,Western Europe,South,Netherlands,Partner,2022-10-01
C00206,Silverline Services Group 0206,Mid-Market,Small,Automotive,Western Europe,West,Germany,Website,2022-08-01
C00207,Summit Manufacturing Group 0207,Enterprise,Very Large,Healthcare,DACH,Central,Italy,Outbound Sales,2022-10-01
C00208,Atlas Services AG 0208,SMB,Large,Manufacturing,Western Europe,West,Switzerland,Partner,2021-07-01
C00209,Everline Supplies GmbH 0209,Enterprise,Large,Food & Beverage,DACH,West,Germany,Inbound,2021-02-01
C00210,NovaCore Distribution AG 0210,SMB,Medium,Logistics,Western Europe,Central,France,Trade Fair,2021-10-01
C00211,Everline Technologies AG 0211,Mid-Market,Medium,Manufacturing,Southern Europe,North,Germany,Outbound Sales,2022-09-01
C00212,Silverline Systems LLC 0212,Mid-Market,Medium,Public Administration,DACH,Central,Belgium,Partner,2020-10-01
C00213,Redwood Energy Group 0213,Mid-Market,Medium,Manufacturing,DACH,West,Germany,Outbound Sales,2022-09-01
C00214,Prime Energy Ltd 0214,SMB,Small,Retail,Benelux,East,Netherlands,Referral,2023-11-01
C00215,ClearView Solutions SRL 0215,SMB,Medium,Technology,Western Europe,North,Switzerland,Outbound Sales,2022-10-01
C00216,UrbanGrid Technologies AG 0216,Enterprise,Very Large,Manufacturing,Western Europe,East,Italy,Partner,2022-11-01
C00217,Greenfield Distribution SAS 0217,SMB,Small,Automotive,Southern Europe,North,Germany,Referral,2022-04-01
C00218,UrbanGrid Manufacturing LLC 0218,SMB,Small,Manufacturing,Southern Europe,South,Spain,Trade Fair,2023-07-01
C00219,Atlas Distribution SAS 0219,Public Sector,Small,Retail,Western Europe,South,Germany,Inbound,2022-03-01
C00220,BluePeak Logistics Ltd 0220,Mid-Market,Large,Energy,DACH,Central,France,Trade Fair,2022-02-01
C00221,Greenfield Retail Group SAS 0221,SMB,Small,Healthcare,Southern Europe,Central,Italy,Partner,2024-09-01
C00222,ClearView Energy GmbH 0222,SMB,Large,Healthcare,Western Europe,East,Switzerland,Partner,2021-12-01
C00223,Silverline Solutions AG 0223,Enterprise,Large,Healthcare,DACH,East,Italy,Outbound Sales,2021-02-01
C00224,BluePeak Technologies BV 0224,Mid-Market,Large,Construction,Benelux,Central,Germany,Outbound Sales,2020-11-01
C00225,Prime Energy Ltd 0225,SMB,Medium,Healthcare,Southern Europe,South,Germany,Outbound Sales,2021-04-01
C00226,Silverline Technologies SAS 0226,Mid-Market,Large,Food & Beverage,Western Europe,North,Switzerland,Inbound,2021-02-01
C00227,Everline Energy LLC 0227,Mid-Market,Medium,Manufacturing,Western Europe,West,Belgium,Outbound Sales,2023-02-01
C00228,NovaCore Energy GmbH 0228,SMB,Small,Automotive,Western Europe,North,France,Trade Fair,2024-04-01
C00229,BrightPath Industries AG 0229,Mid-Market,Medium,Manufacturing,DACH,East,France,Inbound,2024-06-01
C00230,Northstar Solutions SRL 0230,SMB,Large,Construction,Southern Europe,Central,Switzerland,Inbound,2021-05-01
C00231,BluePeak Solutions LLC 0231,SMB,Small,Retail,Western Europe,West,Germany,Trade Fair,2022-11-01
C00232,Summit Trading SAS 0232,Distributor,Medium,Manufacturing,DACH,North,Italy,Website,2023-03-01
C00233,BluePeak Distribution GmbH 0233,Mid-Market,Very Large,Automotive,DACH,North,Germany,Inbound,2022-04-01
C00234,BrightPath Energy Ltd 0234,SMB,Large,Technology,Benelux,South,Spain,Inbound,2021-05-01
C00235,Northstar Industries Group 0235,SMB,Large,Healthcare,Southern Europe,Central,Netherlands,Inbound,2022-12-01
C00236,Prime Energy LLC 0236,Mid-Market,Medium,Manufacturing,Western Europe,North,Netherlands,Inbound,2022-11-01
C00237,IronBridge Services LLC 0237,Public Sector,Large,Automotive,DACH,North,Switzerland,Inbound,2022-02-01
C00238,Greenfield Trading LLC 0238,Enterprise,Large,Technology,DACH,North,Austria,Outbound Sales,2022-01-01
C00239,Prime Systems LLC 0239,Mid-Market,Medium,Public Administration,Southern Europe,North,Spain,Trade Fair,2021-03-01
C00240,IronBridge Trading GmbH 0240,SMB,Small,Manufacturing,Benelux,South,Netherlands,Outbound Sales,2021-01-01
C00241,BluePeak Services BV 0241,Mid-Market,Very Large,Logistics,DACH,Central,Switzerland,Website,2023-03-01
