feature_id,table_name,feature,data_type,grain,category,business_definition,calculation,role,modeling_usage,caution,documentation_status
cust_prod_matrix_grp_3.purchase_flag_grp3_Core Advanced Type 1,cust_prod_matrix_grp_3,purchase_flag_grp3_Core Advanced Type 1,int64,customer,Model target,Historical purchase indicator for Core Advanced Type 1 at grp3 level.,"MAX(1 if Units > 0 for Core Advanced Type 1, else 0) by ID_Customer.",Model target,Separate binary target for a product-specific classifier.,All-history target; it does not represent purchase in a future prediction horizon.,Exact
cust_prod_matrix_grp_3.purchase_flag_grp3_Core Advanced Type 2,cust_prod_matrix_grp_3,purchase_flag_grp3_Core Advanced Type 2,int64,customer,Model target,Historical purchase indicator for Core Advanced Type 2 at grp3 level.,"MAX(1 if Units > 0 for Core Advanced Type 2, else 0) by ID_Customer.",Model target,Separate binary target for a product-specific classifier.,All-history target; it does not represent purchase in a future prediction horizon.,Exact
cust_prod_matrix_grp_3.purchase_flag_grp3_Core Basic Type 1,cust_prod_matrix_grp_3,purchase_flag_grp3_Core Basic Type 1,int64,customer,Model target,Historical purchase indicator for Core Basic Type 1 at grp3 level.,"MAX(1 if Units > 0 for Core Basic Type 1, else 0) by ID_Customer.",Model target,Separate binary target for a product-specific classifier.,All-history target; it does not represent purchase in a future prediction horizon.,Exact
cust_prod_matrix_grp_3.purchase_flag_grp3_Core Basic Type 2,cust_prod_matrix_grp_3,purchase_flag_grp3_Core Basic Type 2,int64,customer,Model target,Historical purchase indicator for Core Basic Type 2 at grp3 level.,"MAX(1 if Units > 0 for Core Basic Type 2, else 0) by ID_Customer.",Model target,Separate binary target for a product-specific classifier.,All-history target; it does not represent purchase in a future prediction horizon.,Exact
cust_prod_matrix_grp_3.purchase_flag_grp3_Core Replacement Type 1,cust_prod_matrix_grp_3,purchase_flag_grp3_Core Replacement Type 1,int64,customer,Model target,Historical purchase indicator for Core Replacement Type 1 at grp3 level.,"MAX(1 if Units > 0 for Core Replacement Type 1, else 0) by ID_Customer.",Model target,Separate binary target for a product-specific classifier.,All-history target; it does not represent purchase in a future prediction horizon.,Exact
cust_prod_matrix_grp_3.purchase_flag_grp3_Core Replacement Type 2,cust_prod_matrix_grp_3,purchase_flag_grp3_Core Replacement Type 2,int64,customer,Model target,Historical purchase indicator for Core Replacement Type 2 at grp3 level.,"MAX(1 if Units > 0 for Core Replacement Type 2, else 0) by ID_Customer.",Model target,Separate binary target for a product-specific classifier.,All-history target; it does not represent purchase in a future prediction horizon.,Exact
cust_prod_matrix_grp_3.purchase_flag_grp3_Extended Support Type 1,cust_prod_matrix_grp_3,purchase_flag_grp3_Extended Support Type 1,int64,customer,Model target,Historical purchase indicator for Extended Support Type 1 at grp3 level.,"MAX(1 if Units > 0 for Extended Support Type 1, else 0) by ID_Customer.",Model target,Separate binary target for a product-specific classifier.,All-history target; it does not represent purchase in a future prediction horizon.,Exact
cust_prod_matrix_grp_3.purchase_flag_grp3_Extended Support Type 2,cust_prod_matrix_grp_3,purchase_flag_grp3_Extended Support Type 2,int64,customer,Model target,Historical purchase indicator for Extended Support Type 2 at grp3 level.,"MAX(1 if Units > 0 for Extended Support Type 2, else 0) by ID_Customer.",Model target,Separate binary target for a product-specific classifier.,All-history target; it does not represent purchase in a future prediction horizon.,Exact
cust_prod_matrix_grp_3.purchase_flag_grp3_Facility Safety Type 2,cust_prod_matrix_grp_3,purchase_flag_grp3_Facility Safety Type 2,int64,customer,Model target,Historical purchase indicator for Facility Safety Type 2 at grp3 level.,"MAX(1 if Units > 0 for Facility Safety Type 2, else 0) by ID_Customer.",Model target,Separate binary target for a product-specific classifier.,All-history target; it does not represent purchase in a future prediction horizon.,Exact
cust_prod_matrix_grp_3.purchase_flag_grp3_Installation Type 1,cust_prod_matrix_grp_3,purchase_flag_grp3_Installation Type 1,int64,customer,Model target,Historical purchase indicator for Installation Type 1 at grp3 level.,"MAX(1 if Units > 0 for Installation Type 1, else 0) by ID_Customer.",Model target,Separate binary target for a product-specific classifier.,All-history target; it does not represent purchase in a future prediction horizon.,Exact
cust_prod_matrix_grp_3.purchase_flag_grp3_Installation Type 2,cust_prod_matrix_grp_3,purchase_flag_grp3_Installation Type 2,int64,customer,Model target,Historical purchase indicator for Installation Type 2 at grp3 level.,"MAX(1 if Units > 0 for Installation Type 2, else 0) by ID_Customer.",Model target,Separate binary target for a product-specific classifier.,All-history target; it does not represent purchase in a future prediction horizon.,Exact
cust_prod_matrix_grp_3.purchase_flag_grp3_Monitoring Type 1,cust_prod_matrix_grp_3,purchase_flag_grp3_Monitoring Type 1,int64,customer,Model target,Historical purchase indicator for Monitoring Type 1 at grp3 level.,"MAX(1 if Units > 0 for Monitoring Type 1, else 0) by ID_Customer.",Model target,Separate binary target for a product-specific classifier.,All-history target; it does not represent purchase in a future prediction horizon.,Exact
cust_prod_matrix_grp_3.purchase_flag_grp3_Monitoring Type 2,cust_prod_matrix_grp_3,purchase_flag_grp3_Monitoring Type 2,int64,customer,Model target,Historical purchase indicator for Monitoring Type 2 at grp3 level.,"MAX(1 if Units > 0 for Monitoring Type 2, else 0) by ID_Customer.",Model target,Separate binary target for a product-specific classifier.,All-history target; it does not represent purchase in a future prediction horizon.,Exact
cust_prod_matrix_grp_3.purchase_flag_grp3_Personal Safety Type 1,cust_prod_matrix_grp_3,purchase_flag_grp3_Personal Safety Type 1,int64,customer,Model target,Historical purchase indicator for Personal Safety Type 1 at grp3 level.,"MAX(1 if Units > 0 for Personal Safety Type 1, else 0) by ID_Customer.",Model target,Separate binary target for a product-specific classifier.,All-history target; it does not represent purchase in a future prediction horizon.,Exact
cust_prod_matrix_grp_3.purchase_flag_grp3_Personal Safety Type 2,cust_prod_matrix_grp_3,purchase_flag_grp3_Personal Safety Type 2,int64,customer,Model target,Historical purchase indicator for Personal Safety Type 2 at grp3 level.,"MAX(1 if Units > 0 for Personal Safety Type 2, else 0) by ID_Customer.",Model target,Separate binary target for a product-specific classifier.,All-history target; it does not represent purchase in a future prediction horizon.,Exact
cust_prod_matrix_grp_3.purchase_flag_grp3_Premium Custom Type 1,cust_prod_matrix_grp_3,purchase_flag_grp3_Premium Custom Type 1,int64,customer,Model target,Historical purchase indicator for Premium Custom Type 1 at grp3 level.,"MAX(1 if Units > 0 for Premium Custom Type 1, else 0) by ID_Customer.",Model target,Separate binary target for a product-specific classifier.,All-history target; it does not represent purchase in a future prediction horizon.,Exact
cust_prod_matrix_grp_3.purchase_flag_grp3_Premium Custom Type 2,cust_prod_matrix_grp_3,purchase_flag_grp3_Premium Custom Type 2,int64,customer,Model target,Historical purchase indicator for Premium Custom Type 2 at grp3 level.,"MAX(1 if Units > 0 for Premium Custom Type 2, else 0) by ID_Customer.",Model target,Separate binary target for a product-specific classifier.,All-history target; it does not represent purchase in a future prediction horizon.,Exact
cust_prod_matrix_grp_3.purchase_flag_grp3_Premium Plus Type 1,cust_prod_matrix_grp_3,purchase_flag_grp3_Premium Plus Type 1,int64,customer,Model target,Historical purchase indicator for Premium Plus Type 1 at grp3 level.,"MAX(1 if Units > 0 for Premium Plus Type 1, else 0) by ID_Customer.",Model target,Separate binary target for a product-specific classifier.,All-history target; it does not represent purchase in a future prediction horizon.,Exact
cust_prod_matrix_grp_3.purchase_flag_grp3_Premium Plus Type 2,cust_prod_matrix_grp_3,purchase_flag_grp3_Premium Plus Type 2,int64,customer,Model target,Historical purchase indicator for Premium Plus Type 2 at grp3 level.,"MAX(1 if Units > 0 for Premium Plus Type 2, else 0) by ID_Customer.",Model target,Separate binary target for a product-specific classifier.,All-history target; it does not represent purchase in a future prediction horizon.,Exact
cust_prod_matrix_grp_3.purchase_flag_grp3_Premium Standard Type 1,cust_prod_matrix_grp_3,purchase_flag_grp3_Premium Standard Type 1,int64,customer,Model target,Historical purchase indicator for Premium Standard Type 1 at grp3 level.,"MAX(1 if Units > 0 for Premium Standard Type 1, else 0) by ID_Customer.",Model target,Separate binary target for a product-specific classifier.,All-history target; it does not represent purchase in a future prediction horizon.,Exact
cust_prod_matrix_grp_3.purchase_flag_grp3_Premium Standard Type 2,cust_prod_matrix_grp_3,purchase_flag_grp3_Premium Standard Type 2,int64,customer,Model target,Historical purchase indicator for Premium Standard Type 2 at grp3 level.,"MAX(1 if Units > 0 for Premium Standard Type 2, else 0) by ID_Customer.",Model target,Separate binary target for a product-specific classifier.,All-history target; it does not represent purchase in a future prediction horizon.,Exact
cust_prod_matrix_grp_3.purchase_flag_grp3_Preventive Kits Type 1,cust_prod_matrix_grp_3,purchase_flag_grp3_Preventive Kits Type 1,int64,customer,Model target,Historical purchase indicator for Preventive Kits Type 1 at grp3 level.,"MAX(1 if Units > 0 for Preventive Kits Type 1, else 0) by ID_Customer.",Model target,Separate binary target for a product-specific classifier.,All-history target; it does not represent purchase in a future prediction horizon.,Exact
cust_prod_matrix_grp_3.purchase_flag_grp3_Preventive Kits Type 2,cust_prod_matrix_grp_3,purchase_flag_grp3_Preventive Kits Type 2,int64,customer,Model target,Historical purchase indicator for Preventive Kits Type 2 at grp3 level.,"MAX(1 if Units > 0 for Preventive Kits Type 2, else 0) by ID_Customer.",Model target,Separate binary target for a product-specific classifier.,All-history target; it does not represent purchase in a future prediction horizon.,Exact
cust_prod_matrix_grp_3.purchase_flag_grp3_Repair Kits Type 1,cust_prod_matrix_grp_3,purchase_flag_grp3_Repair Kits Type 1,int64,customer,Model target,Historical purchase indicator for Repair Kits Type 1 at grp3 level.,"MAX(1 if Units > 0 for Repair Kits Type 1, else 0) by ID_Customer.",Model target,Separate binary target for a product-specific classifier.,All-history target; it does not represent purchase in a future prediction horizon.,Exact
cust_prod_matrix_grp_3.purchase_flag_grp3_Repair Kits Type 2,cust_prod_matrix_grp_3,purchase_flag_grp3_Repair Kits Type 2,int64,customer,Model target,Historical purchase indicator for Repair Kits Type 2 at grp3 level.,"MAX(1 if Units > 0 for Repair Kits Type 2, else 0) by ID_Customer.",Model target,Separate binary target for a product-specific classifier.,All-history target; it does not represent purchase in a future prediction horizon.,Exact
cust_prod_matrix_grp_3.purchase_flag_grp3_Sensors Type 1,cust_prod_matrix_grp_3,purchase_flag_grp3_Sensors Type 1,int64,customer,Model target,Historical purchase indicator for Sensors Type 1 at grp3 level.,"MAX(1 if Units > 0 for Sensors Type 1, else 0) by ID_Customer.",Model target,Separate binary target for a product-specific classifier.,All-history target; it does not represent purchase in a future prediction horizon.,Exact
cust_prod_matrix_grp_3.purchase_flag_grp3_Sensors Type 2,cust_prod_matrix_grp_3,purchase_flag_grp3_Sensors Type 2,int64,customer,Model target,Historical purchase indicator for Sensors Type 2 at grp3 level.,"MAX(1 if Units > 0 for Sensors Type 2, else 0) by ID_Customer.",Model target,Separate binary target for a product-specific classifier.,All-history target; it does not represent purchase in a future prediction horizon.,Exact
cust_prod_matrix_grp_3.purchase_flag_grp3_Training Type 1,cust_prod_matrix_grp_3,purchase_flag_grp3_Training Type 1,int64,customer,Model target,Historical purchase indicator for Training Type 1 at grp3 level.,"MAX(1 if Units > 0 for Training Type 1, else 0) by ID_Customer.",Model target,Separate binary target for a product-specific classifier.,All-history target; it does not represent purchase in a future prediction horizon.,Exact
cust_prod_matrix_grp_3.purchase_flag_grp3_Training Type 2,cust_prod_matrix_grp_3,purchase_flag_grp3_Training Type 2,int64,customer,Model target,Historical purchase indicator for Training Type 2 at grp3 level.,"MAX(1 if Units > 0 for Training Type 2, else 0) by ID_Customer.",Model target,Separate binary target for a product-specific classifier.,All-history target; it does not represent purchase in a future prediction horizon.,Exact
customer_top_lead.customer_lead_tier,customer_top_lead,customer_lead_tier,category,customer,Customer priority,Customer-level priority tier based on the best recommendation.,"qcut(rank(customer_top_lead_score), 40% Cold / 40% Warm / 20% Hot) across customers.",Business output,,,Exact
customer_top_lead.customer_top_expected_order_value,customer_top_lead,customer_top_expected_order_value,float64,customer,Customer priority,Expected order value from the customer's Top-1 lead recommendation.,expected_order_value where lead_rank_per_customer = 1.,Business output,,,Exact
customer_top_lead.customer_top_expected_revenue,customer_top_lead,customer_top_expected_revenue,float64,customer,Customer priority,Expected revenue from the customer's Top-1 lead recommendation.,expected_revenue where lead_rank_per_customer = 1.,Business output,,,Exact
customer_top_lead.customer_top_lead_score,customer_top_lead,customer_top_lead_score,float64,customer,Customer priority,Lead score of the customer's best recommendation.,lead_score where lead_rank_per_customer = 1.,Business output,,,Exact
customer_top_lead.customer_top_model_probability,customer_top_lead,customer_top_model_probability,float64,customer,Customer priority,Model probability from the customer's Top-1 lead recommendation.,model_probability where lead_rank_per_customer = 1.,Business output,,,Exact
customer_top_lead.customer_top_product,customer_top_lead,customer_top_product,object,customer,Customer priority,Product from the customer's Top-1 lead recommendation.,recommended_product where lead_rank_per_customer = 1.,Business output,,,Exact
customer_top_lead.customer_top_product_group,customer_top_lead,customer_top_product_group,object,customer,Customer priority,Product group from the customer's Top-1 lead recommendation.,product_group where lead_rank_per_customer = 1.,Business output,,,Exact
customer_top_lead.ID_Customer,customer_top_lead,ID_Customer,object,customer,Identifier,Unique customer identifier.,Source-system customer key; no calculation.,Key,Excluded from model features; used for joins and output grain.,,Exact
customer_value_profiles.customer_mean_event_value,customer_value_profiles,customer_mean_event_value,float64,customer,Expected value,Customer's mean total historical value-event size.,MEAN(customer_event_value) by ID_Customer.,Engineered feature,,,Exact
customer_value_profiles.customer_median_event_value,customer_value_profiles,customer_median_event_value,float64,customer,Expected value,Customer's median total historical value-event size.,MEDIAN(customer_event_value) by ID_Customer.,Diagnostic,,,Exact
customer_value_profiles.customer_value_multiplier,customer_value_profiles,customer_value_multiplier,float64,customer,Expected value,Capped customer buying-power adjustment applied to expected order value.,"customer_value_multiplier_raw filled with 1.0 and clipped to [0.50, 2.00].",Engineered feature,,,Exact
customer_value_profiles.customer_value_multiplier_raw,customer_value_profiles,customer_value_multiplier_raw,float64,customer,Expected value,Uncapped customer buying-power ratio relative to the peer segment.,customer_mean_event_value / segment_median_customer_event_value.,Engineered feature,,,Exact
customer_value_profiles.segment_median_customer_event_value,customer_value_profiles,segment_median_customer_event_value,float64,customer,Expected value,Typical customer mean event value within the peer segment.,MEDIAN(customer_mean_event_value) by value_segment.,Benchmark,,,Exact
customer_value_profiles.value_segment,customer_value_profiles,value_segment,object,customer,Expected value,Peer segment used to estimate order value.,Latest Customer_Segment; fallback to cohort_ML; final fallback 'Unknown'.,Intermediate feature,,,Exact
customer_value_profiles.customer_value_events,customer_value_profiles,customer_value_events,int64,customer,Expected value support,Number of historical value events observed for the customer.,COUNT(customer_event_value) by ID_Customer.,Diagnostic,,,Exact
customer_value_profiles.ID_Customer,customer_value_profiles,ID_Customer,object,customer,Identifier,Unique customer identifier.,Source-system customer key; no calculation.,Key,Excluded from model features; used for joins and output grain.,,Exact
df_customers.active_months,df_customers,active_months,int64,customer,Activity,Number of distinct historical purchase months.,NUNIQUE(YearMonth) by ID_Customer.,Engineered feature,,,Exact
df_customers.activity_ratio_lifetime,df_customers,activity_ratio_lifetime,float64,customer,Activity,Share of customer-lifetime months containing a purchase.,"active_months / lifetime_months, clipped to [0, 1].",Engineered feature,,,Exact
df_customers.current_consec_active_months,df_customers,current_consec_active_months,float64,customer,Activity,Consecutive active-month streak ending at the customer's most recent purchase month.,Run length from the last active month backwards while adjacent month ordinals differ by 1.,Engineered feature,,,Exact
df_customers.max_consec_active_months,df_customers,max_consec_active_months,float64,customer,Activity,Longest historical streak of consecutive purchase months.,Maximum run length where adjacent active month ordinals differ by 1.,Engineered feature,,,Exact
df_customers.cluster,df_customers,cluster,int64,customer,Cohort,Numeric cluster assigned to the customer.,AgglomerativeClustering with Ward linkage and FINAL_K = 5 on standardized/encoded customer features.,Model output,Used as customer context in recommendation and reporting.,,Exact
df_customers.cohort_ML,df_customers,cohort_ML,object,customer,Cohort,Business-readable cohort label mapped from the numeric cluster.,"Rule-based label from cluster-level sales, activity, recency, product breadth, and Salesforce quantiles.",Model output,,,Exact
df_customers.Sales,df_customers,Sales,float64,customer,Customer value,Historical sales value.,In df_sales_full: recorded sales value on the row. At customer grain: SUM(Sales) across all historical rows.,Model input,"Used as customer-value history, never as future revenue.",,Exact
df_customers.avg_monthly_revenue,df_customers,avg_monthly_revenue,float64,customer,Customer value,Average historical revenue per lifetime month.,Sales / lifetime_months; zero if denominator is zero.,Engineered feature,,,Exact
df_customers.avg_order_line_value,df_customers,avg_order_line_value,float64,customer,Customer value,Average historical sales value per product row.,Sales / order_lines; zero if the denominator is zero.,Engineered feature,,Not a true average order value because no order ID is available.,Exact
df_customers.historical_ltv,df_customers,historical_ltv,float64,customer,Customer value,Historical lifetime-value proxy equal to cumulative sales.,historical_ltv = Sales.,Engineered feature,,Historical value only; it is not predictive customer lifetime value.,Exact
df_customers.active_purchase_months,df_customers,active_purchase_months,int64,customer,Frequency,Number of distinct months containing a purchase.,NUNIQUE(YearMonth) by ID_Customer.,Engineered feature,,,Exact
df_customers.order_lines,df_customers,order_lines,int64,customer,Frequency,Number of historical product rows for the customer.,COUNT(ID_Product) by ID_Customer.,Engineered feature,,"This is an order-line proxy, not distinct orders, because no order ID is available.",Exact
df_customers.purchase_freq_per_year,df_customers,purchase_freq_per_year,float64,customer,Frequency,Annualized frequency of active purchase months.,active_months / (lifetime_months / 12).,Engineered feature,,,Exact
df_customers.ID_Customer,df_customers,ID_Customer,object,customer,Identifier,Unique customer identifier.,Source-system customer key; no calculation.,Key,Excluded from model features; used for joins and output grain.,,Exact
df_customers.avg_inactive_gap_months,df_customers,avg_inactive_gap_months,float64,customer,Inactivity,Average number of inactive months between consecutive active months.,"MEAN(MAX(diff(active_month_ordinals) - 1, 0)).",Engineered feature,,,Exact
df_customers.is_inactive_12m,df_customers,is_inactive_12m,int64,customer,Inactivity,Flag indicating at least twelve months since the last purchase.,"1 if months_since_last_purchase >= 12, otherwise 0.",Engineered feature,,,Exact
df_customers.is_inactive_6m,df_customers,is_inactive_6m,int64,customer,Inactivity,Flag indicating at least six months since the last purchase.,"1 if months_since_last_purchase >= 6, otherwise 0.",Engineered feature,,,Exact
df_customers.max_inactive_gap_months,df_customers,max_inactive_gap_months,float64,customer,Inactivity,Largest number of inactive months between consecutive active months.,"MAX(MAX(diff(active_month_ordinals) - 1, 0)).",Engineered feature,,,Exact
df_customers.avg_unit_price_realized,df_customers,avg_unit_price_realized,float64,customer,Pricing,Average realized revenue per purchased unit.,Sales / Units; zero if the denominator is zero.,Engineered feature,,,Exact
df_customers.distinct_products,df_customers,distinct_products,int64,customer,Product breadth,Number of distinct SKUs purchased by the customer.,NUNIQUE(ID_Product) by ID_Customer.,Engineered feature,,,Exact
df_customers.prd_grp_1_coverage_pct,df_customers,prd_grp_1_coverage_pct,float64,customer,Product breadth,Share of all level-1 product groups purchased by the customer.,NUNIQUE(customer Prd_Grp_1) / NUNIQUE(all Prd_Grp_1).,Engineered feature,,,Exact
df_customers.prd_grp_2_coverage_pct,df_customers,prd_grp_2_coverage_pct,float64,customer,Product breadth,Share of all level-2 product groups purchased by the customer.,NUNIQUE(customer Prd_Grp_2) / NUNIQUE(all Prd_Grp_2).,Engineered feature,,,Exact
df_customers.prd_grp_3_coverage_pct,df_customers,prd_grp_3_coverage_pct,float64,customer,Product breadth,Share of all level-3 product groups purchased by the customer.,NUNIQUE(customer Prd_Grp_3) / NUNIQUE(all Prd_Grp_3).,Engineered feature,,,Exact
df_customers.prd_line_coverage_pct,df_customers,prd_line_coverage_pct,float64,customer,Product breadth,Share of all product lines purchased by the customer.,NUNIQUE(customer Prod_Line) / NUNIQUE(all Prod_Line).,Engineered feature,,,Exact
df_customers.purchase_share_grp1_Automation Modules,df_customers,purchase_share_grp1_Automation Modules,float64,customer,Product history,Share of the customer's historical units belonging to Automation Modules at grp1 level.,SUM(Units for Automation Modules) / SUM(Units across all products) by ID_Customer.,Clustering feature,Used in cohort clustering; explicitly excluded from recommendation classifiers.,Directly derived from purchase history and would leak the purchase target if used in its classifier.,Exact
df_customers.purchase_share_grp1_Core Products,df_customers,purchase_share_grp1_Core Products,float64,customer,Product history,Share of the customer's historical units belonging to Core Products at grp1 level.,SUM(Units for Core Products) / SUM(Units across all products) by ID_Customer.,Clustering feature,Used in cohort clustering; explicitly excluded from recommendation classifiers.,Directly derived from purchase history and would leak the purchase target if used in its classifier.,Exact
df_customers.purchase_share_grp1_Maintenance Kits,df_customers,purchase_share_grp1_Maintenance Kits,float64,customer,Product history,Share of the customer's historical units belonging to Maintenance Kits at grp1 level.,SUM(Units for Maintenance Kits) / SUM(Units across all products) by ID_Customer.,Clustering feature,Used in cohort clustering; explicitly excluded from recommendation classifiers.,Directly derived from purchase history and would leak the purchase target if used in its classifier.,Exact
df_customers.purchase_share_grp1_Premium Products,df_customers,purchase_share_grp1_Premium Products,float64,customer,Product history,Share of the customer's historical units belonging to Premium Products at grp1 level.,SUM(Units for Premium Products) / SUM(Units across all products) by ID_Customer.,Clustering feature,Used in cohort clustering; explicitly excluded from recommendation classifiers.,Directly derived from purchase history and would leak the purchase target if used in its classifier.,Exact
df_customers.purchase_share_grp1_Safety Solutions,df_customers,purchase_share_grp1_Safety Solutions,float64,customer,Product history,Share of the customer's historical units belonging to Safety Solutions at grp1 level.,SUM(Units for Safety Solutions) / SUM(Units across all products) by ID_Customer.,Clustering feature,Used in cohort clustering; explicitly excluded from recommendation classifiers.,Directly derived from purchase history and would leak the purchase target if used in its classifier.,Exact
